,tweet,Label
152,niggas,TIN
153,death metal death metal tell hateful death metal,TIN
154,kavanaugh liberals opinion con con scotus right they d will,TIN
155,america url think democrats gop,TIN
156,probably yes,TIN
157,voice ass,TIN
158,cause know real leader fall,TIN
159,campaign continue pay staff okay staff poor world americans stand,TIN
160,news jeff session death listen aclu black life matter url,TIN
161,david fly away democrats hatred jews,TIN
162,suck,TIN
163,liar ugly sell cash dem speak,TIN
164,scum onpoli,TIN
165,say receive death family s proof democrats promote,TIN
166,ruin hope check cash job,TIN
167,ise niggas,TIN
168,lifeisbutepu black word nigga feel niggas,TIN
169,austerity pay housing fall crap shop brexit deal eu 8 year completely fuck uk,TIN
170,justice come haiti,TIN
171,3 day radio day tell act is come thank lot i have pay act interest,TIN
172,tytlive need danger country world way rid hi good,TIN
173,,TIN
174,21 tell were happy get bear cool cool literally bear hatred that s wonder,TIN
175,bad choice hi amself comment today death puerto rico maria,TIN
176,1 lose fucking fight,TIN
177,ill use ti ame gun control debate debate yes choose choose wrong murder say right,TIN
178,hell think,TIN
179,liberalismisamentaldisorder hypocrites democratshateamerica touch turn absolute,TIN
180,ise niggas podcast ai get,TIN
181,anyti ame bust dumb say,TIN
182,people clai ams money wing family family hate jews that s funny gun control funny good,TIN
183,bitche,TIN
184,trick way,TIN
185,upset gay have rapist,TIN
186,protest year murder voter cri ames,TIN
187,old garbage bag old garbage bag,TIN
188,need gun control sorry ams hi amself hope hell,TIN
189,hope d human right r happy hope d r happy let play thm let thank thm 4 r let funny take 4,TIN
190,kavanaugh scotus americafirst acc ford make accusation subject 2 b question charge,TIN
191,traitor law communist socialism way slow dc democrat socialist america real maga,TIN
192,christineblaseyford kavanaugh party get love metoo kavanaugh attack,TIN
193,hero american traitor treat carry url,TIN
194,bitch,TIN
195,,TIN
196,tytlive omg woman think christian poster child hate,TIN
197,hi amself,TIN
198,nigga stupid trash play hi play bitch,TIN
199,opinion offset know slow believe say think offset need sit ugly ass,TIN
200,obama law destroy,TIN
201,demonstrate carry think,TIN
202,fucking,TIN
203,liberalhypocrisy ask illegal,TIN
204,hate hate bad cause let way feel kid work job,TIN
205,kill election league say commit medium justice,TIN
206,bad,TIN
207,right wing get knot onpoli,TIN
208,bad public word,TIN
209,theview believe lie live near police hope pray bust house kill color police police matter,TIN
210,stop fascist,TIN
211,that s cause act ass,TIN
212,were,TIN
213,pray knot socialist democrat serve military serve w god,TIN
214,disarmthem stupid open carry carry stupid act shoot carry weapon shoot kill,TIN
215,puerto rico destroy die visit paper people later puerto rico wait help say fine visit great,TIN
216,ise ass school give nasty away,TIN
217,point tweet,TIN
218,make,TIN
219,liberals metoo blame non man,TIN
220,brexit deal reach special sell uk eu well,TIN
221,clai ams president life lose puerto rico,TIN
222,eu cash play card take nice well,TIN
223,phone fucking dumb,TIN
224,tell threaten eat ass,TIN
225,kavanaugh blaseyford expose fraud expect new acc trick liberalismisamentaldisorder,TIN
226,cool ass,TIN
227,fuck,TIN
228,liberalhypocrisy cri democrat evidence ellison ellison violence acc say democratic party believe story,TIN
229,fascist walkaway run,TIN
230,auspol know job,TIN
231,maga tell good thing president bad president history,TIN
232,tactic dc votere end maga,TIN
233,beat hell lol assumption ignore evidence assumption,TIN
234,fuck baby,TIN
235,,TIN
236,look school point,TIN
237,ass,TIN
238,lie dem law gun control kavanaugh url,TIN
239,3 people talk sorry ass wait i have run funny tweet,TIN
